                name       KW start         KW end GRBalpha start   GRBalpha end     plot start       plot end
         GRB 210909A         0.0000        36.0000        94.0000       280.0000         0.0000       280.0000
         GRB 230304B         0.0000        49.5224       120.5224       200.0000         0.0000       250.0000
         GRB 230320B         0.0000        51.5217       127.5217       300.0000         0.0000       300.0000
         GRB 210822A         0.0000        44.0000       102.0000       280.0000         0.0000       280.0000
         GRB 230908A         0.0000         3.4629        61.4629       110.0000         0.0000       110.0000
         GRB 240222A        30.0000        50.0000        30.2175        60.0000         0.0000        60.0000
         GRB 230510A         0.0000        52.4957       126.4957       300.0000         0.0000       300.0000
         GRB 230512A         0.0000        49.4592        50.4592       200.0000         0.0000       300.0000
         GRB 211019A         0.0000        32.0000        20.0000        70.0000         0.0000       168.0000
         GRB 231124A         0.0000        24.5127        94.5127       170.0000         0.0000       170.0000
         GRB 230604A         0.0000        49.4834       100.4834       300.0000         0.0000       300.0000
         GRB 231106B        20.0000        30.0000        11.5002        34.0000         0.0000        34.0000
         GRB 240118A         0.0000       122.4976         0.0000       114.4976         0.0000       300.0000
         GRB 240123C        30.0000        50.0000        31.4781        60.0000         0.0000        60.0000
         GRB 230826A         0.0000        47.5025       115.5025       200.0000         0.0000       200.0000
         GRB 221127A         0.0000        49.5139       102.5139       300.0000         0.0000       300.0000
         GRB 211018A         0.0000       172.0000         0.0000       110.0000         0.0000       400.0000
         GRB 220926B         0.0000        51.9536       115.9536       200.0000         0.0000       300.0000
         GRB 240411A        10.0000        30.0000         0.0000        30.6831         0.0000        60.0000
         GRB 230328B         0.0000        49.5214         0.5214       100.0000         0.0000       130.0000
         GRB 240125A        35.0000        55.0000        27.4744        60.0000         0.0000        60.0000
         GRB 221206B         0.0000        51.5043       109.5043       300.0000         0.0000       300.0000
         GRB 240123A         0.0000        51.4782       109.4782       300.0000         0.0000       300.0000
         GRB 230911B         0.0000         3.4628         0.0000        38.4628         0.0000       100.0000
         GRB 230828A         0.0000        58.5024       248.5024       300.0000         0.0000       300.0000
         GRB 240101C        60.0000        90.0000        50.4977       100.0000         0.0000       100.0000
         GRB 240331A         0.0000        49.2120       108.7120       300.0000         0.0000       300.0000
         GRB 230510B         0.0000        64.4614       150.4614       250.0000         0.0000       300.0000
         GRB 221029A         0.0000        52.0325       138.0325       300.0000         0.0000       300.0000
         GRB 240112C        60.0000        90.0000        54.4980       100.0000         0.0000       100.0000
         GRB 230307A         0.0000        53.5222         0.5222       100.0000         0.0000       250.0000
         GRB 221112A         0.0000        49.5144       114.5144       300.0000         0.0000       300.0000
         GRB 240128A         0.0000        10.5495        73.5495       150.0000         0.0000       150.0000
         GRB 230827A         0.0000        70.5025       193.5025       300.0000         0.0000       300.0000
         GRB 221020A         0.0000        60.0327       126.0327       300.0000         0.0000       300.0000
         GRB 230523B         0.0000        51.4580       102.4580       300.0000         0.0000       300.0000
         GRB 240106A         0.0000       145.5155       100.0000       170.5155         0.0000       300.0000
         GRB 240225C        30.0000        50.0000         0.0000        19.2444         0.0000        55.0000
         GRB 231129C        60.0000        90.4610         0.0000        44.4610         0.0000       100.0000
         GRB 230305A         0.0000        50.5223       111.5223       300.0000         0.0000       300.0000
         GRB 230709B         0.0000        50.5061       106.5061       300.0000         0.0000       300.0000
         GRB 221009A         0.0000        64.5148       000.5148       100.0000         0.0000       200.0000
         GRB 220927A         0.0000        55.9536       113.9536       300.0000         0.0000       300.0000
         GRB 221119A         0.0000        51.5141       155.5141       300.0000         0.0000       300.0000
         GRB 231030B        60.0000       100.5485        71.5485       150.0000         0.0000       150.0000
         GRB 240405A         0.0000        31.7625         0.0000        57.7625         0.0000       120.0000
         GRB 220829A         0.0000        50.4994       150.4994       250.0000         0.0000       250.0000
         GRB 240226A         0.0000         2.7762         0.0000        43.2762         0.0000       100.0000
         GRB 230911D         0.0000        36.5404         0.0000        41.5404         0.0000       170.0000
         GRB 240229A         5.0000        15.0000         0.0000        12.2925         0.0000        45.0000
         GRB 230522A         0.0000        53.4914         0.4914       100.0000         0.0000       300.0000
         GRB 230626A         0.0000        56.5288         0.5288       200.0000         0.0000       300.0000
         GRB 221022B       150.0000       300.0327       134.0327       300.0000         0.0000       300.0000
         GRB 231208A        60.0000        90.0000        50.4846       100.0000         0.0000       100.0000
         GRB 220915A         0.0000        51.9149       113.9149       300.0000        70.0000       300.0000
         GRB 240408B         0.0000        47.7477       142.2477       300.0000         0.0000       300.0000
         GRB 210807A       100.0000       200.0000       126.0000       300.0000         0.0000       500.0000
         GRB 231125A        23.0000        33.0000        17.4642        37.0000         0.0000        37.0000
         GRB 231018A         0.0000       107.5154       200.0000       300.5154         0.0000       300.0000
         GRB 240216A        25.0000        35.0000        20.7477        40.0000         0.0000        40.0000
         GRB 220826B         0.0000        50.4995       109.4995       300.0000         0.0000       300.0000
         GRB 231127A        60.0000        90.0000        52.4636       100.0000         0.0000       100.0000
         GRB 231215A         0.0000         0.4676         0.0000        34.4676         0.0000       100.0000
         GRB 231118A        55.0000        80.5146         0.5146        40.0000         0.0000       100.0000
         GRB 231117A        35.0000        50.0000        30.5325        60.0000         0.0000        60.0000
         GRB 230102A         0.0000        50.4928       101.4928       300.0000         0.0000       300.0000
         GRB 221122A         0.0000        50.5140       102.5140       300.0000         0.0000       300.0000
         GRB 221107A         0.0000        54.5146         0.5146       100.0000         0.0000       300.0000
         GRB 240402C       150.0000       270.7475       201.7475       300.0000         0.0000       300.0000
