                name       KW start         KW end GRBalpha start   GRBalpha end     plot start       plot end
     Solar flare 030         0.0000        62.4846       100.4846       200.0000         0.0000       300.0000
     Solar flare 038         0.0000         0.0000        40.2018        70.0000         0.0000        70.0000
     Solar flare 028         0.0000        91.4590       186.4590       300.0000         0.0000       300.0000
     Solar flare 012         0.0000       159.5227         0.0000        74.5227         0.0000       300.0000
     Solar flare 037        79.4908       579.4908         0.0000       114.4908         0.0000       786.0000
     Solar flare 046         0.0000       107.7206         0.0000       122.2206         0.0000       300.0000
     Solar flare 027         0.0000        69.5331       150.5331       300.0000         0.0000       300.0000
Probably solar flare 034         0.0000        92.4524       190.4524       300.0000         0.0000       300.0000
     Solar flare 014         0.0000        57.5221       120.5221       300.0000         0.0000       300.0000
     Solar Flare 001         0.0000        55.9938       165.9939       300.0000         0.0000       300.0000
     Solar flare 039         0.0000        22.2458       117.2458       150.0000         0.0000       150.0000
     Solar flare 016         0.0000        57.5062       213.5062       300.0000         0.0000       300.0000
     Solar flare 015         0.0000        63.5294       143.5294       300.0000         0.0000       300.0000
     Solar flare 017         0.0000        78.4656       222.4656       300.0000         0.0000       300.0000
     Solar flare 036         0.0000        62.4505       151.4505       300.0000         0.0000       300.0000
     Solar flare 019         0.0000        82.4778       168.4778       300.0000         0.0000       300.0000
     Solar flare 047         0.0000        11.2536        77.7536       130.0000         0.0000       130.0000
   SGR 1935+2154 004         0.0000       168.0329         0.0000       202.0329         0.0000       300.0000
     Solar flare 005         0.0000        71.5145        50.5145       200.0000         0.0000       300.0000
     Solar flare 033         0.0000        13.5137        91.5137       150.0000         0.0000       150.0000
     Solar flare 025         0.0000         5.4545        66.4545       150.0000         0.0000       150.0000
     Solar flare 009         0.0000        57.5232         0.5232       200.0000         0.0000       300.0000
     Solar flare 023         0.0000        57.5023         0.5023       100.0000         0.0000       300.0000
     Solar flare 043       280.0000       320.2175         0.7175       200.0000         0.0000       950.0000
     Solar flare 026         0.0000        13.5498        80.5498       150.0000         0.0000       150.0000
     Solar flare 035         0.0000       210.4954       570.4954       690.0000         0.0000       550.0000
     Solar flare 010         0.0000       106.5231         0.0000        97.5231         0.0000       300.0000
     Solar flare 007         0.0000        51.5145       111.5145       300.0000         0.0000       300.0000
   SGR 1935+2154 003         0.0000        48.0329       102.0329       300.0000         0.0000       300.0000
     Solar flare 041         0.0000       109.2175       690.2175       850.0000         0.0000       420.0000
     Solar flare 021         0.0000        28.5060       113.5060       300.0000         0.0000       300.0000
    LS V +44 17  011         0.0000        57.5231       120.5231       300.0000         0.0000       300.0000
     Solar flare 045         0.0000       166.2789         0.0000        51.2789         0.0000       300.0000
     Solar flare 042         0.0000        69.2175       529.2175       900.0000         0.0000       600.0000
     Solar flare 013       200.0000       300.5222       162.5222       300.0000         0.0000       300.0000
likely Solar Flare 002         0.0000        56.4750       118.4750       300.0000         0.0000       300.0000
     Solar flare 032         0.0000       116.4676         0.0000        53.4676         0.0000       300.0000
     Solar flare 031         0.0000        29.5218         0.0000        23.5218         0.0000       120.0000
     Solar flare 022         0.0000        57.5473       168.5473       250.0000         0.0000       250.0000
     Solar flare 044         0.0000        10.7787       287.7787       600.0000         0.0000       400.0000
Probably solar flare 024         0.0000         4.4630         0.0000        45.4630         0.0000        67.0000
maybe solar flare 008         0.0000       136.5341       100.0000       200.5341         0.0000       300.0000
     Solar flare 048        60.0000        90.0000        59.1831       100.0000         0.0000       100.0000
     Solar flare 020         0.0000       147.4842         0.0000        93.4842         0.0000       300.0000
     Solar flare 018         0.0000        77.4580       247.4580       300.0000         0.0000       300.0000
     Solar flare 040         0.0000        67.7478       436.7478       800.0000         0.0000       500.0000
     Solar Flare 000         0.0000        59.9939       217.9939       300.0000         0.0000       300.0000
     Solar flare 006         0.0000        53.5145         0.5145       200.0000         0.0000       200.0000
     Solar flare 029         0.0000         5.4619         0.0000        47.4619         0.0000       100.0000
